"sum"|"d_year"|"p_brand1"
709524929.00|1992|"MFGR#2221"
783846394.00|1992|"MFGR#2222"
765052002.00|1992|"MFGR#2223"
651488962.00|1992|"MFGR#2224"
646528589.00|1992|"MFGR#2225"
709650548.00|1992|"MFGR#2226"
745556316.00|1992|"MFGR#2227"
756901875.00|1992|"MFGR#2228"
766521103.00|1993|"MFGR#2221"
691475597.00|1993|"MFGR#2222"
758220752.00|1993|"MFGR#2223"
669662707.00|1993|"MFGR#2224"
773854228.00|1993|"MFGR#2225"
737087518.00|1993|"MFGR#2226"
781967766.00|1993|"MFGR#2227"
680880216.00|1993|"MFGR#2228"
685777518.00|1994|"MFGR#2221"
666524807.00|1994|"MFGR#2222"
733993590.00|1994|"MFGR#2223"
707869040.00|1994|"MFGR#2224"
721251967.00|1994|"MFGR#2225"
822495919.00|1994|"MFGR#2226"
720837128.00|1994|"MFGR#2227"
826225350.00|1994|"MFGR#2228"
775437074.00|1995|"MFGR#2221"
761354792.00|1995|"MFGR#2222"
637832575.00|1995|"MFGR#2223"
589765707.00|1995|"MFGR#2224"
708290039.00|1995|"MFGR#2225"
747356383.00|1995|"MFGR#2226"
802502540.00|1995|"MFGR#2227"
895936786.00|1995|"MFGR#2228"
700010008.00|1996|"MFGR#2221"
777310085.00|1996|"MFGR#2222"
656095314.00|1996|"MFGR#2223"
656859917.00|1996|"MFGR#2224"
765820896.00|1996|"MFGR#2225"
808177734.00|1996|"MFGR#2226"
729563303.00|1996|"MFGR#2227"
819665874.00|1996|"MFGR#2228"
727342382.00|1997|"MFGR#2221"
664533779.00|1997|"MFGR#2222"
748288392.00|1997|"MFGR#2223"
630422081.00|1997|"MFGR#2224"
757391203.00|1997|"MFGR#2225"
747889257.00|1997|"MFGR#2226"
728857899.00|1997|"MFGR#2227"
775312985.00|1997|"MFGR#2228"
335304504.00|1998|"MFGR#2221"
409347137.00|1998|"MFGR#2222"
459109577.00|1998|"MFGR#2223"
413318072.00|1998|"MFGR#2224"
410402095.00|1998|"MFGR#2225"
453515044.00|1998|"MFGR#2226"
390506405.00|1998|"MFGR#2227"
397939103.00|1998|"MFGR#2228"
