UNITED ST0|UNITED ST0|1992|723587114.00
UNITED ST0|UNITED ST0|1993|696362024.00
UNITED ST0|UNITED ST0|1994|763208759.00
UNITED ST0|UNITED ST0|1995|725811545.00
UNITED ST0|UNITED ST0|1996|587757275.00
UNITED ST0|UNITED ST0|1997|701859120.00
UNITED ST0|UNITED ST1|1992|547389446.00
UNITED ST0|UNITED ST1|1993|583190810.00
UNITED ST0|UNITED ST1|1994|530910532.00
UNITED ST0|UNITED ST1|1995|529848391.00
UNITED ST0|UNITED ST1|1996|456162377.00
UNITED ST0|UNITED ST1|1997|567670206.00
UNITED ST0|UNITED ST2|1992|373487732.00
UNITED ST0|UNITED ST2|1993|495491911.00
UNITED ST0|UNITED ST2|1994|382044967.00
UNITED ST0|UNITED ST2|1995|379019445.00
UNITED ST0|UNITED ST2|1996|333883499.00
UNITED ST0|UNITED ST2|1997|313110196.00
UNITED ST0|UNITED ST3|1992|508974357.00
UNITED ST0|UNITED ST3|1993|465455721.00
UNITED ST0|UNITED ST3|1994|404268690.00
UNITED ST0|UNITED ST3|1995|459098511.00
UNITED ST0|UNITED ST3|1996|398933710.00
UNITED ST0|UNITED ST3|1997|385372165.00
UNITED ST0|UNITED ST4|1992|566916016.00
UNITED ST0|UNITED ST4|1993|833226137.00
UNITED ST0|UNITED ST4|1994|634602330.00
UNITED ST0|UNITED ST4|1995|627916288.00
UNITED ST0|UNITED ST4|1996|608513310.00
UNITED ST0|UNITED ST4|1997|627343614.00
UNITED ST0|UNITED ST5|1992|605316856.00
UNITED ST0|UNITED ST5|1993|527381710.00
UNITED ST0|UNITED ST5|1994|519794853.00
UNITED ST0|UNITED ST5|1995|436340952.00
UNITED ST0|UNITED ST5|1996|510642767.00
UNITED ST0|UNITED ST5|1997|607095313.00
UNITED ST0|UNITED ST6|1992|587170115.00
UNITED ST0|UNITED ST6|1993|549990963.00
UNITED ST0|UNITED ST6|1994|503656899.00
UNITED ST0|UNITED ST6|1995|590421866.00
UNITED ST0|UNITED ST6|1996|615101714.00
UNITED ST0|UNITED ST6|1997|557586262.00
UNITED ST0|UNITED ST7|1992|567296592.00
UNITED ST0|UNITED ST7|1993|596284469.00
UNITED ST0|UNITED ST7|1994|590467205.00
UNITED ST0|UNITED ST7|1995|611571838.00
UNITED ST0|UNITED ST7|1996|529196420.00
UNITED ST0|UNITED ST7|1997|529647606.00
UNITED ST0|UNITED ST8|1992|553545847.00
UNITED ST0|UNITED ST8|1993|399919977.00
UNITED ST0|UNITED ST8|1994|366285939.00
UNITED ST0|UNITED ST8|1995|396781907.00
UNITED ST0|UNITED ST8|1996|534406874.00
UNITED ST0|UNITED ST8|1997|495836555.00
UNITED ST0|UNITED ST9|1992|484980836.00
UNITED ST0|UNITED ST9|1993|490009073.00
UNITED ST0|UNITED ST9|1994|463954821.00
UNITED ST0|UNITED ST9|1995|509859583.00
UNITED ST0|UNITED ST9|1996|528121003.00
UNITED ST0|UNITED ST9|1997|510564189.00
UNITED ST1|UNITED ST0|1992|680938105.00
UNITED ST1|UNITED ST0|1993|589273536.00
UNITED ST1|UNITED ST0|1994|657064252.00
UNITED ST1|UNITED ST0|1995|628191933.00
UNITED ST1|UNITED ST0|1996|755829425.00
UNITED ST1|UNITED ST0|1997|703024570.00
UNITED ST1|UNITED ST1|1992|526964785.00
UNITED ST1|UNITED ST1|1993|538984816.00
UNITED ST1|UNITED ST1|1994|625833868.00
UNITED ST1|UNITED ST1|1995|517186634.00
UNITED ST1|UNITED ST1|1996|530973507.00
UNITED ST1|UNITED ST1|1997|549085510.00
UNITED ST1|UNITED ST2|1992|397485374.00
UNITED ST1|UNITED ST2|1993|390218170.00
UNITED ST1|UNITED ST2|1994|481936654.00
