"d_year"|"c_nation"|"profit"
1992|"ARGENTINA"|9658964469.00
1992|"BRAZIL"|9226983055.00
1992|"CANADA"|9643176787.00
1992|"PERU"|9410676597.00
1992|"UNITED STATES"|9849427653.00
1993|"ARGENTINA"|9976332853.00
1993|"BRAZIL"|9468799229.00
1993|"CANADA"|9897302420.00
1993|"PERU"|9309445836.00
1993|"UNITED STATES"|10003985086.00
1994|"ARGENTINA"|9940305215.00
1994|"BRAZIL"|9348651677.00
1994|"CANADA"|9582647596.00
1994|"PERU"|9295265013.00
1994|"UNITED STATES"|9519880425.00
1995|"ARGENTINA"|10143841380.00
1995|"BRAZIL"|9156077350.00
1995|"CANADA"|9562612160.00
1995|"PERU"|9778087211.00
1995|"UNITED STATES"|9310565244.00
1996|"ARGENTINA"|10001927895.00
1996|"BRAZIL"|9168485151.00
1996|"CANADA"|10061604203.00
1996|"PERU"|9355135674.00
1996|"UNITED STATES"|9769712174.00
1997|"ARGENTINA"|9854560261.00
1997|"BRAZIL"|9121571047.00
1997|"CANADA"|10097371778.00
1997|"PERU"|9315525917.00
1997|"UNITED STATES"|10506723879.00
1998|"ARGENTINA"|5834240407.00
1998|"BRAZIL"|5356398095.00
1998|"CANADA"|5423211196.00
1998|"PERU"|5726185970.00
1998|"UNITED STATES"|6009462019.00
