"c_city"|"s_city"|"d_year"|"revenue"
"UNITED KI1"|"UNITED KI1"|1992|46735995.00
"UNITED KI5"|"UNITED KI1"|1992|36277055.00
"UNITED KI5"|"UNITED KI5"|1992|25355267.00
"UNITED KI1"|"UNITED KI5"|1992|21917846.00
"UNITED KI5"|"UNITED KI1"|1993|61017607.00
"UNITED KI1"|"UNITED KI1"|1993|45669535.00
"UNITED KI5"|"UNITED KI5"|1993|34099392.00
"UNITED KI1"|"UNITED KI5"|1993|21444206.00
"UNITED KI5"|"UNITED KI1"|1994|36282163.00
"UNITED KI1"|"UNITED KI1"|1994|34868441.00
"UNITED KI5"|"UNITED KI5"|1994|34507284.00
"UNITED KI1"|"UNITED KI5"|1994|21221780.00
"UNITED KI5"|"UNITED KI1"|1995|82955896.00
"UNITED KI1"|"UNITED KI1"|1995|35881186.00
"UNITED KI5"|"UNITED KI5"|1995|20539805.00
"UNITED KI1"|"UNITED KI5"|1995|17176510.00
"UNITED KI5"|"UNITED KI1"|1996|65767049.00
"UNITED KI1"|"UNITED KI1"|1996|59923037.00
"UNITED KI5"|"UNITED KI5"|1996|46077342.00
"UNITED KI1"|"UNITED KI5"|1996|13700254.00
"UNITED KI1"|"UNITED KI1"|1997|70343133.00
"UNITED KI5"|"UNITED KI1"|1997|64978359.00
"UNITED KI5"|"UNITED KI5"|1997|27332027.00
"UNITED KI1"|"UNITED KI5"|1997|16410668.00
